model,metric,contrast,train_seed,placement_seed,value,dataset,score_support_status
spin_c,MAE_over_snaive7,shift_excess_penalty,1,2,0.00010198415032453001,cta,exact
spin_c,MAE_over_snaive7,shift_excess_penalty,1,3,-6.9198998818853497e-06,cta,exact
spin_c,MAE_over_snaive7,shift_excess_penalty,1,4,-0.00020892282769396919,cta,exact
spin_c,MAE_over_snaive7,shift_excess_penalty,2,0,-7.2554659546142375e-05,cta,exact
spin_c,MAE_over_snaive7,shift_excess_penalty,2,1,0.00074249154844086007,cta,exact
spin_c,MAE_over_snaive7,shift_excess_penalty,2,2,0.00066837767982896867,cta,exact
spin_c,MAE_over_snaive7,shift_excess_penalty,2,3,5.1123550660836514e-05,cta,exact
spin_c,MAE_over_snaive7,shift_excess_penalty,2,4,-0.00015650573084335928,cta,exact
ignnk_off,MAE_over_snaive7,outside_penalty_no_shift,0,0,0.0096394397499840467,cta,exact
ignnk_off,MAE_over_snaive7,outside_penalty_no_shift,0,1,0.032088046690589955,cta,exact
ignnk_off,MAE_over_snaive7,outside_penalty_no_shift,0,2,0.029249074117845164,cta,exact
ignnk_off,MAE_over_snaive7,outside_penalty_no_shift,0,3,0.0057966264360802544,cta,exact
ignnk_off,MAE_over_snaive7,outside_penalty_no_shift,0,4,0.0078992828604090848,cta,exact
ignnk_off,MAE_over_snaive7,outside_penalty_no_shift,1,0,0.015544249021951506,cta,exact
ignnk_off,MAE_over_snaive7,outside_penalty_no_shift,1,1,0.059514164680952386,cta,exact
ignnk_off,MAE_over_snaive7,outside_penalty_no_shift,1,2,0.03261272018878747,cta,exact
ignnk_off,MAE_over_snaive7,outside_penalty_no_shift,1,3,0.028052264388235271,cta,exact
ignnk_off,MAE_over_snaive7,outside_penalty_no_shift,1,4,0.0060072824089782983,cta,exact
ignnk_off,MAE_over_snaive7,outside_penalty_no_shift,2,0,0.055056079121587609,cta,exact
ignnk_off,MAE_over_snaive7,outside_penalty_no_shift,2,1,0.078907036760354377,cta,exact
ignnk_off,MAE_over_snaive7,outside_penalty_no_shift,2,2,0.056202464955860454,cta,exact
ignnk_off,MAE_over_snaive7,outside_penalty_no_shift,2,3,0.014125047175301386,cta,exact
ignnk_off,MAE_over_snaive7,outside_penalty_no_shift,2,4,0.015360475511801641,cta,exact
ignnk_off,MAE_over_snaive7,outside_penalty_regional_shift,0,0,0.38714538627183637,cta,exact
ignnk_off,MAE_over_snaive7,outside_penalty_regional_shift,0,1,0.5191707516119044,cta,exact
ignnk_off,MAE_over_snaive7,outside_penalty_regional_shift,0,2,0.43564955590559951,cta,exact
ignnk_off,MAE_over_snaive7,outside_penalty_regional_shift,0,3,0.29160779333969034,cta,exact
