dataset,model,train_seed,placement_seed,shift,coverage,MAE,snaive7,common_mode,n_target,n_observed,realised_shift
cta,ignnk_off_c,2,2,no shift,outside,188.9300708718054,265.26036079960994,193.75248786122648,21,22,1.1264620890535109
cta,ignnk_off_c,2,3,no shift,inside,156.5938555442975,227.5228343897286,168.17692216383062,21,22,1.1264620890535109
cta,ignnk_off_c,2,3,no shift,outside,163.92438449422536,227.5228343897286,172.98570886341946,21,22,1.1264620890535109
cta,ignnk_off_c,2,4,no shift,inside,110.00229713592455,164.3417844953681,108.01955442259143,21,22,1.1264620890535109
cta,ignnk_off_c,2,4,no shift,outside,113.88812320336625,164.3417844953681,109.85380781105042,21,22,1.1264620890535109
cta,ignnk_off_c,2,0,regional shift,inside,34.88374806488895,54.68746952705997,40.17508953765671,21,22,1.1264620890535109
cta,ignnk_off_c,2,0,regional shift,outside,36.08589419112755,54.68746952705997,40.1770739339316,21,22,1.1264620890535109
cta,ignnk_off_c,2,1,regional shift,inside,38.87419385582998,54.961360312042906,37.28226847222702,21,22,1.1264620890535109
cta,ignnk_off_c,2,1,regional shift,outside,42.46771038866965,54.961360312042906,37.85209975004262,21,22,1.1264620890535109
cta,ignnk_off_c,2,2,regional shift,inside,43.48022802170943,66.31509019990249,47.3264221856702,21,22,1.1264620890535109
cta,ignnk_off_c,2,2,regional shift,outside,47.23449060274841,66.31509019990249,48.4416879392888,21,22,1.1264620890535109
cta,ignnk_off_c,2,3,regional shift,inside,39.16506269093202,56.88070859743215,42.030761411622855,21,22,1.1264620890535109
cta,ignnk_off_c,2,3,regional shift,outside,40.983417681479054,56.88070859743215,43.256688352021534,21,22,1.1264620890535109
cta,ignnk_off_c,2,4,regional shift,inside,27.523432123589355,41.085446123842026,26.999094632159036,21,22,1.1264620890535109
