dataset,model,train_seed,placement_seed,shift,coverage,MAE,snaive7,common_mode,n_target,n_observed,realised_shift,model_score_policy,n_scored,n_all_valid,MAE_all_valid,previous_MAE,replay_MAE_difference,prediction_file,prediction_sha256
mta,spin,2,0,no shift,outside,662.79088459516299,993.22397476340689,623.27623474511495,65,66,0.8412481727836516,target_and_lag7_valid,19020,19032,662.73620087221525,595.16603614964265,67.570164722572599,results_mta/coverage_matched_predictions/spin_ts2_p0_no_shift_outside.npz,38f45ec490ae2e1fbe1af24b2b001954011655e11728f6dd3aab46e8be4ef6a4
mta,spin,2,1,no shift,inside,602.34956276936828,946.07442447177561,638.72481956601712,65,66,0.8412481727836516,target_and_lag7_valid,19026,19035,602.4078621618072,552.14229708431833,50.265565077488873,results_mta/coverage_matched_predictions/spin_ts2_p1_no_shift_inside.npz,cae3a8b3e9005618f6241030feaa10a3c1adc2aa05d3d8a5c34966ad8dd4b194
mta,spin,2,1,no shift,outside,638.79307099495429,946.07442447177561,640.8436092925723,65,66,0.8412481727836516,target_and_lag7_valid,19026,19035,638.82500820856319,567.75147097452077,71.073537234042533,results_mta/coverage_matched_predictions/spin_ts2_p1_no_shift_outside.npz,16f3a9b229402db66ffd39e2e8cd9548943a9116f11b95000d411a10f673d806
mta,spin,2,2,no shift,inside,695.42451678134353,1056.5591154997635,665.21950427652689,65,66,0.8412481727836516,target_and_lag7_valid,19039,19042,695.37646551045054,631.00328221825441,64.373183292196131,results_mta/coverage_matched_predictions/spin_ts2_p2_no_shift_inside.npz,90fbd10314b610993c273109e7dc706cd18226878574527de0602a31dafd3b3d
mta,spin,2,2,no shift,outside,759.80410112138236,1056.5591154997635,670.7288228025842,65,66,0.8412481727836516,target_and_lag7_valid,19039,19042,759.75432924587744,676.94178657704026,82.812542668837295,results_mta/coverage_matched_predictions/spin_ts2_p2_no_shift_outside.npz,3c0657327f9cca4f76fec6d4302b165ceb75ae2b39ecea96583f3d80c510f5f3
mta,spin,2,3,no shift,inside,632.09450143882043,998.22085567118688,618.1920085298035,65,66,0.8412481727836516,target_and_lag7_valid,19026,19035,632.11598289335438,578.71757289204095,53.398410001313437,results_mta/coverage_matched_predictions/spin_ts2_p3_no_shift_inside.npz,9e84c5a2e412ad375004a521e9798b7031cbd933a442ce1abb0cc2b873fd7623
mta,spin,2,3,no shift,outside,623.44576582702621,998.22085567118688,617.71818118853855,65,66,0.8412481727836516,target_and_lag7_valid,19026,19035,623.48542405437365,570.51431573417392,52.971108320199619,results_mta/coverage_matched_predictions/spin_ts2_p3_no_shift_outside.npz,c5e7789792a11e5330d4dfab9ad78b303ed3cf4b98d9a9a1e10f558989a009cb
mta,spin,2,4,no shift,inside,633.2875352968216,974.10044654583646,610.53154901284825,65,66,0.8412481727836516,target_and_lag7_valid,19035,19040,633.23408203124995,584.45277704831938,48.781304982930578,results_mta/coverage_matched_predictions/spin_ts2_p4_no_shift_inside.npz,c663741c580d66fee51f9fbfc7210a267a4d9302f166792bb8ec8f985b6ee079
mta,spin,2,4,no shift,outside,631.5722033425269,974.10044654583646,603.90173912763157,65,66,0.8412481727836516,target_and_lag7_valid,19035,19040,631.4642569918592,570.99843093487391,60.465826056985286,results_mta/coverage_matched_predictions/spin_ts2_p4_no_shift_outside.npz,3f7e9f0bc92702395c062a6ca3cbc179fd504e919867491be8b480774f3a21ee
mta,spin,2,0,regional shift,inside,184.29908361264455,248.30599369085169,153.8801707664139,65,66,0.8412481727836516,target_and_lag7_valid,19020,19032,184.37671134470887,205.8546461223203,-21.477934777611381,results_mta/coverage_matched_predictions/spin_ts2_p0_regional_shift_inside.npz,12fb9781a1106a57c227885a5af83908c28d2e203e892f3c9cc4dd582899e70a
